Fund Name:,SPDR® S&P 500® ETF Trust,,,,,,,,,,
Ticker Symbol:,SPY,,,,,,,,,,
Holdings:,As of 16-Jan-2025,,,,,,,,,,
,,,,,,,,,,,
Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
HONEYWELL INTERNATIONAL INC,HON,438516106,2020459,0.287801,-,8058023.000,USD,,,,
BOSTON SCIENTIFIC CORP,BSX,101137107,2113434,0.287575,-,18264538.000,USD,,,,
UBER TECHNOLOGIES INC,UBER,90353T100,BK6N347,0.286779,-,26072739.000,USD,,,,
PROGRESSIVE CORP,PGR,743315103,2705024,0.285902,-,7259904.000,USD,,,,
UNION PACIFIC CORP,UNP,907818108,2914734,0.283046,-,7513262.000,USD,,,,
PALANTIR TECHNOLOGIES INC A,PLTR,69608A108,BN78DQ4,0.282098,-,25402710.000,USD,,,,
COMCAST CORP CLASS A,CMCSA,20030N101,2044545,0.275475,-,47303446.000,USD,,,,
TJX COMPANIES INC,TJX,872540109,2989301,0.272099,-,13977080.000,USD,,,,
CONOCOPHILLIPS,COP,20825C104,2685717,0.271530,-,16030568.000,USD,,,,
EATON CORP PLC,ETN,G29183103,B8KQN82,0.271130,-,4897288.000,USD,,,,
STRYKER CORP,SYK,863667101,2853688,0.260356,-,4251871.000,USD,,,,
BLACKSTONE INC,BX,09260D107,BKF2SL7,0.253604,-,8947593.000,USD,,,,
BOEING CO/THE,BA,097023105,2108601,0.251011,-,9264527.000,USD,,,,
ARISTA NETWORKS INC,ANET,040413205,BL9XPM3,0.242547,-,12801822.000,USD,,,,
AUTOMATIC DATA PROCESSING,ADP,053015103,2065308,0.239911,-,5049611.000,USD,,,,
FISERV INC,FI,337738108,2342034,0.233240,-,7050568.000,USD,,,,
PALO ALTO NETWORKS INC,PANW,697435105,B87ZMX0,0.230476,-,8110942.000,USD,,,,
BRISTOL MYERS SQUIBB CO,BMY,110122108,2126335,0.227277,-,25134312.000,USD,,,,
GILEAD SCIENCES INC,GILD,375558103,2369174,0.227011,-,15443684.000,USD,,,,
MICRON TECHNOLOGY INC,MU,595112103,2588184,0.226100,-,13740111.000,USD,,,,
SCHWAB (CHARLES) CORP,SCHW,808513105,2779397,0.224422,-,18530977.000,USD,,,,
MEDTRONIC PLC,MDT,G5960L103,BTN1Y11,0.222169,-,15892875.000,USD,,,,
DEERE + CO,DE,244199105,2261203,0.222085,-,3153421.000,USD,,,,
GE VERNOVA INC,GEV,36828A101,BP6H4Y1,0.214215,-,3415941.000,USD,,,,
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,0.213408,-,3191192.000,USD,,,,
STARBUCKS CORP,SBUX,855244109,2842255,0.212745,-,14047061.000,USD,,,,
ANALOG DEVICES INC,ADI,032654105,2032067,0.212184,-,6152774.000,USD,,,,
MARSH + MCLENNAN COS,MMC,571748102,2567741,0.211133,-,6086343.000,USD,,,,
T MOBILE US INC,TMUS,872590104,B94Q9V0,0.209015,-,6040369.000,USD,,,,
KKR + CO INC,KKR,48251W104,BG1FRR1,0.205444,-,8359068.000,USD,,,,
PROLOGIS INC,PLD,74340W103,B44WZD7,0.204207,-,11477796.000,USD,,,,
LOCKHEED MARTIN CORP,LMT,539830109,2522096,0.204139,-,2614322.000,USD,,,,
CHUBB LTD,CB,H1467J104,B3BQMF6,0.203788,-,4645260.000,USD,,,,
LAM RESEARCH CORP,LRCX,512807306,BSML4N7,0.202598,-,15945442.000,USD,,,,
KLA CORP,KLAC,482480100,2480138,0.198685,-,1657788.000,USD,,,,
CONSTELLATION ENERGY,CEG,21037T109,BMH4FS1,0.195880,-,3874231.000,USD,,,,
UNITED PARCEL SERVICE CL B,UPS,911312106,2517382,0.188887,-,9063490.000,USD,,,,
SOUTHERN CO/THE,SO,842587107,2829601,0.182689,-,13578057.000,USD,,,,
ELEVANCE HEALTH INC,ELV,036752103,BSPHGL4,0.177536,-,2873228.000,USD,,,,
PAYPAL HOLDINGS INC,PYPL,70450Y103,BYW36M8,0.177187,-,12424220.000,USD,,,,
AMERICAN TOWER CORP,AMT,03027X100,B7FBFL2,0.176459,-,5788504.000,USD,,,,
EQUINIX INC,EQIX,29444U700,BVLZX12,0.176429,-,1195831.000,USD,,,,
TRANE TECHNOLOGIES PLC,TT,G8994E103,BK9ZQ96,0.173908,-,2788451.000,USD,,,,
ALTRIA GROUP INC,MO,02209S103,2692632,0.172337,-,21003179.000,USD,,,,
INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,BFSSDS9,0.171434,-,7115020.000,USD,,,,
INTEL CORP,INTC,458140100,2463247,0.168620,-,53449258.000,USD,,,,
PARKER HANNIFIN CORP,PH,701094104,2671501,0.168530,-,1595333.000,USD,,,,
NIKE INC  CL B,NKE,654106103,2640147,0.168273,-,14754379.000,USD,,,,
CROWDSTRIKE HOLDINGS INC   A,CRWD,22788C105,BJJP138,0.168081,-,2883988.000,USD,,,,
DUKE ENERGY CORP,DUK,26441C204,B7VD3F2,0.167334,-,9566559.000,USD,,,,
AMPHENOL CORP CL A,APH,032095101,2145084,0.167212,-,14923649.000,USD,,,,
CME GROUP INC,CME,12572Q105,2965839,0.166248,-,4461950.000,USD,,,,
SHERWIN WILLIAMS CO/THE,SHW,824348106,2804211,0.163099,-,2871288.000,USD,,,,
CADENCE DESIGN SYS INC,CDNS,127387108,2302232,0.162927,-,3398625.000,USD,,,,
AON PLC CLASS A,AON,G0403H108,BLP1HW5,0.158222,-,2679951.000,USD,,,,
CHIPOTLE MEXICAN GRILL INC,CMG,169656105,B0X7DZ3,0.158052,-,16885835.000,USD,,,,
SYNOPSYS INC,SNPS,871607107,2867719,0.157470,-,1903462.000,USD,,,,
THE CIGNA GROUP,CI,125523100,BHJ0775,0.155344,-,3447244.000,USD,,,,
PNC FINANCIAL SERVICES GROUP,PNC,693475105,2692665,0.154991,-,4916921.000,USD,,,,
MONDELEZ INTERNATIONAL INC A,MDLZ,609207105,B8CKK03,0.153983,-,16553157.000,USD,,,,
MOTOROLA SOLUTIONS INC,MSI,620076307,B5BKPQ4,0.153680,-,2070879.000,USD,,,,
EOG RESOURCES INC,EOG,26875P101,2318024,0.153240,-,6970284.000,USD,,,,
WASTE MANAGEMENT INC,WM,94106L109,2937667,0.153142,-,4525087.000,USD,,,,
ZOETIS INC,ZTS,98978V103,B95WG16,0.151874,-,5590911.000,USD,,,,
WELLTOWER INC,WELL,95040Q104,BYVYHH4,0.151356,-,7330892.000,USD,,,,
3M CO,MMM,88579Y101,2595708,0.150639,-,6748328.000,USD,,,,
MCKESSON CORP,MCK,58155Q103,2378534,0.150188,-,1573316.000,USD,,,,
US BANCORP,USB,902973304,2736035,0.148943,-,19335003.000,USD,,,,
MOODY S CORP,MCO,615369105,2252058,0.148375,-,1931358.000,USD,,,,
TRANSDIGM GROUP INC,TDG,893641100,B11FJK3,0.147744,-,696798.000,USD,,,,
APOLLO GLOBAL MANAGEMENT INC,APO,03769M106,BN44JF6,0.147412,-,5539492.000,USD,,,,
ARTHUR J GALLAGHER + CO,AJG,363576109,2359506,0.146896,-,3096444.000,USD,,,,
REGENERON PHARMACEUTICALS,REGN,75886F107,2730190,0.145049,-,1304585.000,USD,,,,
COLGATE PALMOLIVE CO,CL,194162103,2209106,0.143795,-,10123761.000,USD,,,,
WILLIAMS COS INC,WMB,969457100,2967181,0.143330,-,15100798.000,USD,,,,
CAPITAL ONE FINANCIAL CORP,COF,14040H105,2654461,0.142959,-,4730156.000,USD,,,,
EMERSON ELECTRIC CO,EMR,291011104,2313405,0.139724,-,7066081.000,USD,,,,
O REILLY AUTOMOTIVE INC,ORLY,67103H107,B65LWX6,0.138246,-,715489.000,USD,,,,
AIR PRODUCTS + CHEMICALS INC,APD,009158106,2011602,0.137855,-,2754354.000,USD,,,,
GENERAL DYNAMICS CORP,GD,369550108,2365161,0.137022,-,3194843.000,USD,,,,
ILLINOIS TOOL WORKS,ITW,452308109,2457552,0.136694,-,3330151.000,USD,,,,
BECTON DICKINSON AND CO,BDX,075887109,2087807,0.135688,-,3580270.000,USD,,,,
CINTAS CORP,CTAS,172908105,2197137,0.134838,-,4244953.000,USD,,,,
NORTHROP GRUMMAN CORP,NOC,666807102,2648806,0.130998,-,1697407.000,USD,,,,
CVS HEALTH CORP,CVS,126650100,2577609,0.129876,-,15584606.000,USD,,,,
MARRIOTT INTERNATIONAL  CL A,MAR,571903202,2210614,0.126537,-,2858546.000,USD,,,,
CSX CORP,CSX,126408103,2160753,0.126370,-,23897952.000,USD,,,,
ONEOK INC,OKE,682680103,2130109,0.126094,-,7235383.000,USD,,,,
AUTODESK INC,ADSK,052769106,2065159,0.123951,-,2664209.000,USD,,,,
FEDEX CORP,FDX,31428X106,2142784,0.123915,-,2785484.000,USD,,,,
TARGET CORP,TGT,87612E106,2259101,0.122008,-,5708953.000,USD,,,,
ECOLAB INC,ECL,278865100,2304227,0.119787,-,3123019.000,USD,,,,
HILTON WORLDWIDE HOLDINGS IN,HLT,43300A203,BYVMW06,0.119503,-,3020887.000,USD,,,,
FORTINET INC,FTNT,34959E109,B5B2106,0.118916,-,7883494.000,USD,,,,
BANK OF NEW YORK MELLON CORP,BK,064058100,B1Z77F6,0.118863,-,9010492.000,USD,,,,
TRUIST FINANCIAL CORP,TFC,89832Q109,BKP7287,0.118682,-,16451419.000,USD,,,,
VISTRA CORP,VST,92840M102,BZ8VJQ8,0.117663,-,4216257.000,USD,,,,
CARRIER GLOBAL CORP,CARR,14448C104,BK4N0D7,0.115663,-,10340661.000,USD,,,,
KINDER MORGAN INC,KMI,49456B101,B3NQ4P8,0.115480,-,23952704.000,USD,,,,
SCHLUMBERGER LTD,SLB,806857108,2779201,0.115332,-,17500495.000,USD,,,,
ROYAL CARIBBEAN CRUISES LTD,RCL,V7780T103,2754907,0.114684,-,3065229.000,USD,,,,
FREEPORT MCMORAN INC,FCX,35671D857,2352118,0.114258,-,17796694.000,USD,,,,
PACCAR INC,PCAR,693718108,2665861,0.113996,-,6492203.000,USD,,,,
AIRBNB INC CLASS A,ABNB,009066101,BMGYYH4,0.113711,-,5364622.000,USD,,,,
GENERAL MOTORS CO,GM,37045V100,B665KZ5,0.113299,-,13626960.000,USD,,,,
HCA HEALTHCARE INC,HCA,40412C101,B4MGBG6,0.112161,-,2259972.000,USD,,,,
DIGITAL REALTY TRUST INC,DLR,253868103,B03GQS4,0.111610,-,3863895.000,USD,,,,
NORFOLK SOUTHERN CORP,NSC,655844108,2641894,0.111116,-,2803640.000,USD,,,,
ROPER TECHNOLOGIES INC,ROP,776696106,2749602,0.110631,-,1328805.000,USD,,,,
TRAVELERS COS INC/THE,TRV,89417E109,2769503,0.109372,-,2813620.000,USD,,,,
AUTOZONE INC,AZO,053332102,2065955,0.107345,-,209551.000,USD,,,,
JOHNSON CONTROLS INTERNATION,JCI,G51502105,BY7QL61,0.106830,-,8278448.000,USD,,,,
NXP SEMICONDUCTORS NV,NXPI,N6596X109,B505PN7,0.106459,-,3149419.000,USD,,,,
WORKDAY INC CLASS A,WDAY,98138H101,B8K6ZD1,0.106130,-,2639500.000,USD,,,,
SEMPRA,SRE,816851109,2138158,0.105633,-,7841701.000,USD,,,,
AMERIPRISE FINANCIAL INC,AMP,03076C106,B0J7D57,0.105365,-,1202262.000,USD,,,,
AFLAC INC,AFL,001055102,2026361,0.105267,-,6195971.000,USD,,,,
SIMON PROPERTY GROUP INC,SPG,828806109,2812452,0.105129,-,3795243.000,USD,,,,
AMERICAN ELECTRIC POWER,AEP,025537101,2026242,0.102483,-,6599684.000,USD,,,,
ALLSTATE CORP,ALL,020002101,2019952,0.100582,-,3281664.000,USD,,,,
CUMMINS INC,CMI,231021106,2240202,0.099895,-,1700235.000,USD,,,,
HOWMET AEROSPACE INC,HWM,443201108,BKLJ8V2,0.099304,-,5034665.000,USD,,,,
METLIFE INC,MET,59156R108,2573209,0.099291,-,7207816.000,USD,,,,
UNITED RENTALS INC,URI,911363109,2134781,0.098818,-,813463.000,USD,,,,
QUANTA SERVICES INC,PWR,74762E102,2150204,0.098693,-,1830368.000,USD,,,,
COPART INC,CPRT,217204106,2208073,0.098276,-,10864340.000,USD,,,,
ROSS STORES INC,ROST,778296103,2746711,0.098250,-,4111330.000,USD,,,,
PHILLIPS 66,PSX,718546104,B78C4Y8,0.098199,-,5118057.000,USD,,,,
WW GRAINGER INC,GWW,384802104,2380863,0.097802,-,549190.000,USD,,,,
MARATHON PETROLEUM CORP,MPC,56585A102,B3K3L40,0.096903,-,3982788.000,USD,,,,
FAIR ISAAC CORP,FICO,303250104,2330299,0.095284,-,301621.000,USD,,,,
MSCI INC,MSCI,55354G100,B2972D2,0.095010,-,971176.000,USD,,,,
REALTY INCOME CORP,O,756109104,2724193,0.094705,-,10818772.000,USD,,,,
NEWMONT CORP,NEM,651639106,2636607,0.094245,-,14108496.000,USD,,,,
PAYCHEX INC,PAYX,704326107,2674458,0.093478,-,3969207.000,USD,,,,
PUBLIC STORAGE,PSA,74460D109,2852533,0.093256,-,1953145.000,USD,,,,
AMERICAN INTERNATIONAL GROUP,AIG,026874784,2027342,0.092502,-,7730159.000,USD,,,,
DISCOVER FINANCIAL SERVICES,DFS,254709108,B1YLC43,0.092343,-,3111552.000,USD,,,,
TARGA RESOURCES CORP,TRGP,87612G101,B55PZY3,0.092290,-,2702189.000,USD,,,,
DOMINION ENERGY INC,D,25746U109,2542049,0.091927,-,10409863.000,USD,,,,
BAKER HUGHES CO,BKR,05722G100,BDHLTQ5,0.091120,-,12262730.000,USD,,,,
VALERO ENERGY CORP,VLO,91913Y100,2041364,0.087695,-,3923212.000,USD,,,,
PUBLIC SERVICE ENTERPRISE GP,PEG,744573106,2707677,0.087618,-,6174262.000,USD,,,,
REPUBLIC SERVICES INC,RSG,760759100,2262530,0.085742,-,2522647.000,USD,,,,
TE CONNECTIVITY PLC,TEL,G87052109,BRC3N84,0.085441,-,3707449.000,USD,,,,
FASTENAL CO,FAST,311900104,2332262,0.085137,-,7099531.000,USD,,,,
DR HORTON INC,DHI,23331A109,2250687,0.084979,-,3614226.000,USD,,,,
AXON ENTERPRISE INC,AXON,05464C101,BDT5S35,0.084371,-,897944.000,USD,,,,
DELTA AIR LINES INC,DAL,247361702,B1W9D46,0.084331,-,7945035.000,USD,,,,
FIDELITY NATIONAL INFO SERV,FIS,31620M106,2769796,0.084223,-,6671734.000,USD,,,,
CORTEVA INC,CTVA,22052L104,BK73B42,0.084188,-,8517149.000,USD,,,,
KIMBERLY CLARK CORP,KMB,494368103,2491839,0.083946,-,4132656.000,USD,,,,
PRUDENTIAL FINANCIAL INC,PRU,744320102,2819118,0.083774,-,4411567.000,USD,,,,
CENCORA INC,COR,03073E105,2795393,0.083730,-,2167196.000,USD,,,,
LULULEMON ATHLETICA INC,LULU,550021109,B23FN39,0.083275,-,1399559.000,USD,,,,
AMETEK INC,AME,031100100,2089212,0.083148,-,2866476.000,USD,,,,
AGILENT TECHNOLOGIES INC,A,00846U101,2520153,0.082647,-,3560711.000,USD,,,,
L3HARRIS TECHNOLOGIES INC,LHX,502431109,BK9DTN5,0.082371,-,2350709.000,USD,,,,
HESS CORP,HES,42809H107,2023748,0.082259,-,3425390.000,USD,,,,
EDWARDS LIFESCIENCES CORP,EW,28176E108,2567116,0.081896,-,7309203.000,USD,,,,
KENVUE INC,KVUE,49177J102,BQ84ZQ6,0.080749,-,23759837.000,USD,,,,
CBRE GROUP INC   A,CBRE,12504L109,B6WVMH3,0.080561,-,3727631.000,USD,,,,
GARTNER INC,IT,366651107,2372763,0.078575,-,956754.000,USD,,,,
EXELON CORP,EXC,30161N101,2670519,0.078382,-,12422812.000,USD,,,,
CROWN CASTLE INC,CCI,22822V101,BTGQCX1,0.078306,-,5385998.000,USD,,,,
VERISK ANALYTICS INC,VRSK,92345Y106,B4P9W92,0.078155,-,1749905.000,USD,,,,
FORD MOTOR CO,F,345370860,2615468,0.077662,-,48373633.000,USD,,,,
KROGER CO,KR,501044101,2497406,0.077556,-,8249075.000,USD,,,,
GE HEALTHCARE TECHNOLOGY,GEHC,36266G107,BL6JPG8,0.077188,-,5661998.000,USD,,,,
COGNIZANT TECH SOLUTIONS A,CTSH,192446102,2257019,0.076309,-,6144701.000,USD,,,,
XCEL ENERGY INC,XEL,98389B100,2614807,0.075558,-,7116424.000,USD,,,,
CORNING INC,GLW,219350105,2224701,0.075415,-,9549430.000,USD,,,,
OTIS WORLDWIDE CORP,OTIS,68902V107,BK531S8,0.073997,-,4950319.000,USD,,,,
P G + E CORP,PCG,69331C108,2689560,0.073652,-,27092771.000,USD,,,,
INGERSOLL RAND INC,IR,45687V106,BL5GZ82,0.072692,-,4994344.000,USD,,,,
ARCH CAPITAL GROUP LTD,ACGL,G0450A105,2740542,0.071571,-,4643529.000,USD,,,,
SYSCO CORP,SYY,871829107,2868165,0.071488,-,6087530.000,USD,,,,
OLD DOMINION FREIGHT LINE,ODFL,679580100,2656423,0.070931,-,2328638.000,USD,,,,
VULCAN MATERIALS CO,VMC,929160109,2931205,0.070660,-,1636749.000,USD,,,,
OCCIDENTAL PETROLEUM CORP,OXY,674599105,2655408,0.070165,-,8364820.000,USD,,,,
YUM  BRANDS INC,YUM,988498101,2098876,0.070022,-,3458369.000,USD,,,,
KEURIG DR PEPPER INC,KDP,49271V100,BD3W133,0.069996,-,13952131.000,USD,,,,
IDEXX LABORATORIES INC,IDXX,45168D104,2459202,0.069753,-,1014681.000,USD,,,,
UNITED AIRLINES HOLDINGS INC,UAL,910047109,B4QG225,0.069357,-,4075377.000,USD,,,,
ENTERGY CORP,ETR,29364G103,2317087,0.069273,-,5311948.000,USD,,,,
RESMED INC,RMD,761152107,2732903,0.069182,-,1819032.000,USD,,,,
MONSTER BEVERAGE CORP,MNST,61174X109,BZ07BW4,0.069100,-,8677533.000,USD,,,,
WABTEC CORP,WAB,929740108,2955733,0.068105,-,2130090.000,USD,,,,
IQVIA HOLDINGS INC,IQV,46266C105,BDR73G1,0.067735,-,2136624.000,USD,,,,
DELL TECHNOLOGIES  C,DELL,24703L202,BHKD3S6,0.067226,-,3806695.000,USD,,,,
ELECTRONIC ARTS INC,EA,285512109,2310194,0.067071,-,2957479.000,USD,,,,
LENNAR CORP A,LEN,526057104,2511920,0.066774,-,2959241.000,USD,,,,
CHARTER COMMUNICATIONS INC A,CHTR,16119P108,BZ6VT82,0.066633,-,1198382.000,USD,,,,
DIAMONDBACK ENERGY INC,FANG,25278X109,B7Y8YR3,0.066531,-,2315874.000,USD,,,,
HUMANA INC,HUM,444859102,2445063,0.066010,-,1492289.000,USD,,,,
DEXCOM INC,DXCM,252131107,B0796X4,0.065866,-,4840582.000,USD,,,,
GARMIN LTD,GRMN,H2906T109,B3Z5T14,0.065507,-,1903608.000,USD,,,,
GENERAL MILLS INC,GIS,370334104,2367026,0.065281,-,6880087.000,USD,,,,
EQUIFAX INC,EFX,294429105,2319146,0.065144,-,1537140.000,USD,,,,
HARTFORD FINANCIAL SVCS GRP,HIG,416515104,2476193,0.064808,-,3592754.000,USD,,,,
M + T BANK CORP,MTB,55261F104,2340168,0.064676,-,2056384.000,USD,,,,
MARTIN MARIETTA MATERIALS,MLM,573284106,2572079,0.064535,-,757442.000,USD,,,,
WILLIS TOWERS WATSON PLC,WTW,G96629103,BDB6Q21,0.064484,-,1248156.000,USD,,,,
NASDAQ INC,NDAQ,631103108,2965107,0.064474,-,5128115.000,USD,,,,
IRON MOUNTAIN INC,IRM,46284V101,BVFTF03,0.064310,-,3636944.000,USD,,,,
EXTRA SPACE STORAGE INC,EXR,30225T102,B02HWR9,0.063879,-,2627223.000,USD,,,,
DUPONT DE NEMOURS INC,DD,26614N102,BK0VN47,0.063765,-,5186182.000,USD,,,,
EQT CORP,EQT,26884L109,2319414,0.063652,-,7379504.000,USD,,,,
CONSOLIDATED EDISON INC,ED,209115104,2216850,0.063544,-,4296245.000,USD,,,,
CENTENE CORP,CNC,15135B101,2807061,0.063087,-,6256554.000,USD,,,,
ROCKWELL AUTOMATION INC,ROK,773903109,2754060,0.063036,-,1398873.000,USD,,,,
DECKERS OUTDOOR CORP,DECK,243537107,2267278,0.062869,-,1882576.000,USD,,,,
HP INC,HPQ,40434L105,BYX4D52,0.061966,-,11942968.000,USD,,,,
EBAY INC,EBAY,278642103,2293819,0.061942,-,5936144.000,USD,,,,
WEC ENERGY GROUP INC,WEC,92939U106,BYY8XK8,0.061864,-,3920359.000,USD,,,,
AVALONBAY COMMUNITIES INC,AVB,053484101,2131179,0.061528,-,1760562.000,USD,,,,
VICI PROPERTIES INC,VICI,925652109,BYWH073,0.061349,-,13063865.000,USD,,,,
CARDINAL HEALTH INC,CAH,14149Y108,2175672,0.061100,-,2998987.000,USD,,,,
HEWLETT PACKARD ENTERPRISE,HPE,42824C109,BYVYWS0,0.060426,-,16093917.000,USD,,,,
MICROCHIP TECHNOLOGY INC,MCHP,595017104,2592174,0.059975,-,6655039.000,USD,,,,
RAYMOND JAMES FINANCIAL INC,RJF,754730109,2718992,0.059973,-,2267638.000,USD,,,,
ANSYS INC,ANSS,03662Q105,2045623,0.059854,-,1083538.000,USD,,,,
COSTAR GROUP INC,CSGP,22160N109,2262864,0.059824,-,5080358.000,USD,,,,
TAKE TWO INTERACTIVE SOFTWRE,TTWO,874054109,2122117,0.059553,-,2024924.000,USD,,,,
STATE STREET CORP,STT,857477103,2842040,0.058549,-,3632716.000,USD,,,,
