Fund Name:,SPDR® S&P® Biotech ETF,,,,,,,,,,
Ticker Symbol:,XBI,,,,,,,,,,
Holdings:,As of 23-Jan-2025,,,,,,,,,,
,,,,,,,,,,,
Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
ARDELYX INC,ARDX,039697107,BN89V40,0.510499,-,5765413.000,USD,,,,
BEAM THERAPEUTICS INC,BEAM,07373V105,BK6L288,0.506066,-,1197854.000,USD,,,,
ARROWHEAD PHARMACEUTICALS IN,ARWR,04280A100,BYQBFJ8,0.505582,-,1461284.000,USD,,,,
INTELLIA THERAPEUTICS INC,NTLA,45826J105,BYZM6C2,0.499211,-,2751552.000,USD,,,,
ACADIA PHARMACEUTICALS INC,ACAD,004225108,2713317,0.496656,-,1619812.000,USD,,,,
ARCUTIS BIOTHERAPEUTICS INC,ARQT,03969K108,BKX9VD3,0.495626,-,2267789.000,USD,,,,
CAREDX INC,CDNA,14167L103,BP3YM74,0.486352,-,1291711.000,USD,,,,
IDEAYA BIOSCIENCES INC,IDYA,45166A102,BK0VHF6,0.477073,-,1274685.000,USD,,,,
IMMUNOVANT INC,IMVT,45258J102,BJRFSB7,0.472847,-,1257453.000,USD,,,,
CATALYST PHARMACEUTICALS INC,CPRX,14888U101,B1G7Q03,0.456685,-,1262490.000,USD,,,,
PRAXIS PRECISION MEDICINES I,PRAX,74006W207,BQ721R4,0.451984,-,362450.000,USD,,,,
SYNDAX PHARMACEUTICALS INC,SNDX,87164F105,BN7Q7R7,0.444797,-,1920814.000,USD,,,,
KYMERA THERAPEUTICS INC,KYMR,501575104,BMPRZV5,0.435947,-,613343.000,USD,,,,
AGIOS PHARMACEUTICALS INC,AGIO,00847X104,BCBVTX1,0.430958,-,757992.000,USD,,,,
CG ONCOLOGY INC,CGON,156944100,BRBCSP4,0.419355,-,848641.000,USD,,,,
VERICEL CORP,VCEL,92346J108,BSBMN89,0.414729,-,449457.000,USD,,,,
JANUX THERAPEUTICS INC,JANX,47103J105,BMFX8Y7,0.403079,-,562522.000,USD,,,,
NURIX THERAPEUTICS INC,NRIX,67080M103,BMVLGP2,0.401791,-,1252642.000,USD,,,,
APOGEE THERAPEUTICS INC,APGE,03770N101,BM9HHL5,0.401714,-,621684.000,USD,,,,
DYNE THERAPEUTICS INC,DYN,26818M108,BN15WD1,0.397232,-,1805625.000,USD,,,,
MIRUM PHARMACEUTICALS INC,MIRM,604749101,BJDX8Y8,0.380651,-,486891.000,USD,,,,
MYRIAD GENETICS INC,MYGN,62855J104,2614153,0.367297,-,1791239.000,USD,,,,
DAY ONE BIOPHARMACEUTICALS I,DAWN,23954D109,BLB0YH0,0.345507,-,1718646.000,USD,,,,
ARS PHARMACEUTICALS INC,SPRY,82835W108,BMCR7V2,0.337836,-,1513528.000,USD,,,,
AKERO THERAPEUTICS INC,AKRO,00973Y108,BK7Y2V9,0.329051,-,782731.000,USD,,,,
MANNKIND CORP,MNKD,56400P706,BF081J4,0.321175,-,3359010.000,USD,,,,
CAPRICOR THERAPEUTICS INC,CAPR,14070B309,BK7Y2Z3,0.317994,-,1361883.000,USD,,,,
BIOCRYST PHARMACEUTICALS INC,BCRX,09058V103,2100362,0.314523,-,2531979.000,USD,,,,
ROCKET PHARMACEUTICALS INC,RCKT,77313F106,BDFKQ07,0.300000,-,1684881.000,USD,,,,
IMMUNITYBIO INC,IBRX,45256X103,BNSP0B8,0.297265,-,5928936.000,USD,,,,
SPYRE THERAPEUTICS INC,SYRE,00773J202,BQBBDY8,0.289958,-,827306.000,USD,,,,
EMERGENT BIOSOLUTIONS INC,EBS,29089Q105,B1HJLW5,0.287855,-,1560339.000,USD,,,,
DISC MEDICINE INC,IRON,254604101,BMGJZJ8,0.273953,-,299133.000,USD,,,,
GRAIL INC,GRAL,384747101,BSLSSX7,0.251553,-,602760.000,USD,,,,
COGENT BIOSCIENCES INC,COGT,19240Q201,BLR6XK8,0.247783,-,1734433.000,USD,,,,
VIR BIOTECHNOLOGY INC,VIR,92764N102,BK4PZ38,0.234263,-,1301585.000,USD,,,,
AVID BIOSERVICES INC,CDMO,05368M106,BFMZ4W7,0.226457,-,1131890.000,USD,,,,
RELAY THERAPEUTICS INC,RLAY,75943R102,BN2R582,0.211436,-,2690654.000,USD,,,,
PROTHENA CORP PLC,PRTA,G72800108,B91XRN2,0.208337,-,837496.000,USD,,,,
KURA ONCOLOGY INC,KURA,50127T109,BYZD465,0.207138,-,1570017.000,USD,,,,
ANAPTYSBIO INC,ANAB,032724106,BDRW1L7,0.204249,-,764284.000,USD,,,,
ALTIMMUNE INC,ALT,02155H200,BFY7DC4,0.192969,-,1700862.000,USD,,,,
SANA BIOTECHNOLOGY INC,SANA,799566104,BMFJJ97,0.189780,-,3383851.000,USD,,,,
VERVE THERAPEUTICS INC,VERV,92539P101,BNKGXX2,0.188864,-,1470922.000,USD,,,,
XENCOR INC,XNCR,98401F105,BGCYWN8,0.184235,-,560342.000,USD,,,,
REPLIMUNE GROUP INC,REPL,76029N106,BDDVW37,0.184164,-,833470.000,USD,,,,
HUMACYTE INC,HUMA,44486Q103,BMYTJP4,0.183751,-,2491172.000,USD,,,,
ARCUS BIOSCIENCES INC,RCUS,03969F109,BDZT9Y9,0.179425,-,837605.000,USD,,,,
ARCTURUS THERAPEUTICS HOLDIN,ARCT,03969T109,BKC9SX3,0.173840,-,620996.000,USD,,,,
CULLINAN THERAPEUTICS INC,CGEM,230031106,BM90J52,0.164021,-,966548.000,USD,,,,
ANNEXON INC,ANNX,03589W102,BMVV9R5,0.160416,-,2354345.000,USD,,,,
IRONWOOD PHARMACEUTICALS INC,IRWD,46333X108,B3MZ6K5,0.154627,-,2552303.000,USD,,,,
IMMUNOME INC,IMNM,45257U108,BM8FWX7,0.144127,-,877570.000,USD,,,,
ANAVEX LIFE SCIENCES CORP,AVXL,032797300,BYTYP72,0.131842,-,804344.000,USD,,,,
REGENXBIO INC,RGNX,75901B107,BZ0G875,0.129243,-,1011644.000,USD,,,,
ARRIVENT BIOPHARMA INC,AVBP,04272N102,BMGTLY5,0.128902,-,294361.000,USD,,,,
STOKE THERAPEUTICS INC,STOK,86150R107,BJQ05Z6,0.123475,-,724873.000,USD,,,,
ALLOGENE THERAPEUTICS INC,ALLO,019770106,BFZNYB7,0.119687,-,3961641.000,USD,,,,
DIANTHUS THERAPEUTICS INC,DNTH,252828108,BN4J951,0.109834,-,306766.000,USD,,,,
89BIO INC,ETNB,282559103,BK1K484,0.106401,-,956811.000,USD,,,,
KEROS THERAPEUTICS INC,KROS,492327101,BM7V485,0.095372,-,493744.000,USD,,,,
ORIC PHARMACEUTICALS INC,ORIC,68622P109,BKVDFF7,0.092086,-,554193.000,USD,,,,
TOURMALINE BIO INC,TRML,89157D105,BQ80NC6,0.090572,-,321881.000,USD,,,,
ARBUTUS BIOPHARMA CORP,ABUS,03879J100,BZ0QMB7,0.084954,-,1582786.000,USD,,,,
KALVISTA PHARMACEUTICALS INC,KALV,483497103,BD06CS0,0.082561,-,587154.000,USD,,,,
OLEMA PHARMACEUTICALS INC,OLMA,68062P106,BMZ4LN0,0.082537,-,877973.000,USD,,,,
CARGO THERAPEUTICS INC,CRGX,14179K101,BQHN2F2,0.078694,-,353828.000,USD,,,,
MIMEDX GROUP INC,MDXG,602496101,B1Z3TW5,0.078617,-,541768.000,USD,,,,
LENZ THERAPEUTICS INC,LENZ,52635N103,BQV0J03,0.076057,-,191151.000,USD,,,,
AKEBIA THERAPEUTICS INC,AKBA,00972D105,BKKMP44,0.074433,-,1938012.000,USD,,,,
SAVARA INC,SVRA,805111101,BYXGN81,0.073353,-,1584934.000,USD,,,,
SANGAMO THERAPEUTICS INC,SGMO,800677106,2573083,0.072438,-,3787993.000,USD,,,,
ERASCA INC,ERAS,29479A108,BNLYBF3,0.072322,-,2261527.000,USD,,,,
TAYSHA GENE THERAPIES INC,TSHA,877619106,BNC1BX1,0.066870,-,2719724.000,USD,,,,
CELCUITY INC,CELC,15102K100,BDH6M05,0.062356,-,332786.000,USD,,,,
ASTRIA THERAPEUTICS INC,ATXS,04635X102,BMYRFN8,0.049143,-,405044.000,USD,,,,
SSI US GOV MONEY MARKET CLASS,-,924QSGII3,-,0.046921,-,2919803.930,USD,,,,
Y MABS THERAPEUTICS INC,YMAB,984241109,BG31GH0,0.044898,-,444887.000,USD,,,,
SCILEX HOLDING CO,SCLX,80880W106,BLKFRT9,0.041036,-,5938524.000,USD,,,,
MONTE ROSA THERAPEUTICS INC,GLUE,61225M102,BP7KZP7,0.026302,-,297585.000,USD,,,,
CONTRA INHIBRX INC,-,457CVR017,-,0.017193,-,1645973.000,USD,,,,
CONTRA MIRATI THERAPEU,-,604CVR027,-,0.015406,-,1369552.000,USD,,,,
US DOLLAR,-,999USDZ92,-,0.000777,-,48369.200,USD,,,,
OMNIAB INC   12.5 EARNOUT,2200963D,68218J202,BP0VHM8,0.000000,-,161959.000,USD,,,,
OMNIAB INC   15.00 EARNOUT,2200964D,68218J301,BP0VHL7,0.000000,-,161959.000,USD,,,,
,,,,,,,,,,,
"Past performance is not a reliable indicator of future performance. Investment return and principal value will fluctuate, so you may have a gain or loss when shares are sold. Current performance may be higher or lower than that quoted. All results are historical and assume the reinvestment of dividends and capital gains. Visit www.ssga.com for most recent month-end performance. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Portfolio holdings, allocations and weightings are as of the date indicated, are subject to change and should not be considered a recommendation to buy individual securities. For most recent information visit www.ssga.com.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Bonds generally present less short-term risk and volatility than stocks, but contain interest rate risk (as interest rates raise, bond prices usually fall); issuer default risk; issuer credit risk; liquidity risk; and inflation risk. These effects are usually pronounced for longer-term securities. Any fixed income security sold or redeemed prior to maturity may be subject to a substantial gain or loss.

International Government bonds and corporate bonds generally have more moderate short-term price fluctuations than stocks, but provide lower potential long-term returns.
Investing in high yield fixed income securities, otherwise known as ""junk bonds"", is considered speculative and involves greater risk of loss of principal and interest than investing in investment grade fixed income securities. These Lower-quality debt securities involve greater risk of default or price changes due to potential changes in the credit quality of the issuer.

Equity securities may fluctuate in value and can decline significantly in response to the activities of individual companies and general market and economic conditions.

There are risks associated with investing in Real Assets and the Real Assets sector, including real estate, precious metals and natural resources.  Investments can be significantly affected by events relating to these industries.

Investing in foreign domiciled securities may involve risk of capital loss from unfavorable fluctuation in currency values, withholding taxes, from differences in generally accepted accounting principles or from economic or political instability in other nations.  Investments in emerging or developing markets may be more volatile and less liquid than investing in developed markets and may involve exposure to economic structures that are generally less diverse and mature and to political systems which have less stability than those of more developed countries. 

The trademarks and service marks referenced herein are the property of their respective owners. Third party data providers make no warranties or representations of any kind relating to the accuracy, completeness or timeliness of the data and have no liability for damages of any kind relating to the use of such data. Investing involves risk including the risk of loss of principal.

The whole or any part of this work may not be reproduced, copied or transmitted or any of its contents disclosed to third parties without SSGA's express written consent.

ETFs trade like stocks, are subject to investment risk and will fluctuate in market value. The investment return and principal value of an investment will fluctuate in value, so that when shares are sold or redeemed, they may be worth more or less than when they were purchased.  Although shares may be bought or sold on an exchange through any brokerage account, shares are not individually redeemable from the fund.  Investors may acquire shares and tender them for redemption through the fund in large aggregations known as “creation units.”  Please see the fund’s prospectus for more details.

Investing in REITs involves certain distinct risks in addition to those risks associated with investing in the real estate industry in general. Equity REITs may be affected by changes in the value of the underlying property owned by the REITs, while mortgage REITs may be affected by the quality of credit extended. REITs are subject to heavy cash flow dependency, default by borrowers and self-liquidation. REITs, especially mortgage REITs, are also subject to interest rate risk (i.e., as interest rates rise, the value of the REIT may decline).

Multi-Cap investments include exposure to all market caps, including small and medium capitalization (“cap”) stocks that generally have a higher risk of business failure, lesser liquidity and greater volatility in market price. As a consequence, small and medium cap stocks have a greater possibility of price decline or loss as compared to large cap stocks. This may cause the Fund not to meet its investment objective. 

Concentrated investments in a particular Sector tend to be more volatile than the overall market and increases risk that events negatively affecting such sectors or industries could reduce returns, potentially causing the value of the Fund’s shares to decrease.

Technology companies, including cyber security companies, can be significantly affected by obsolescence of existing technology, limited product lines, and competition for financial resources, qualified personnel, new market entrants or impairment of patent and intellectual property rights that can adversely affect profit margins.

This communication is not intended to be an investment recommendation or investment advice and should not be relied upon as such.

The information provided does not constitute investment advice and it should not be relied on as such. It should not be considered a solicitation to buy or an offer to sell a security. It does not take into account any investor's particular investment objectives, strategies, tax status or investment horizon.  You should consult your tax and financial advisor.

The S&P 500® Index is a product of S&P Dow Jones Indices LLC or its affiliates (“S&P DJI”) and have been licensed for use by State Street Global Advisors.  S&P®, SPDR®, S&P 500®,US 500 and the 500 are trademarks of Standard & Poor’s Financial Services LLC (“S&P”); Dow Jones® is a registered trademark of Dow Jones Trademark Holdings LLC (“Dow Jones”) and has been licensed for use by S&P Dow Jones Indices; and these trademarks have been licensed for use by S&P DJI and sublicensed for certain purposes by State Street Global Advisors. The fund is not sponsored, endorsed, sold or promoted by S&P DJI, Dow Jones, S&P, their respective affiliates, and none of such parties make any representation regarding the advisability of investing in such product(s) nor do they have any liability for any errors, omissions, or interruptions of these indices.

The returns on a portfolio of securities which exclude companies that do not meet the portfolio's specified ESG criteria may trail the returns on a portfolio of securities which include such companies. A portfolio's ESG criteria may result in the portfolio investing in industry sectors or securities which underperform the market as a whole. 

If your account holds Russian securities and instruments, then as of the date of this publication, they have been fair valued.  Such fair value may be zero.  If your portfolio holds such Russian securities and instruments, then the portfolio may not be able to dispose of such securities and instruments depending on the relevant market, applicable sanctions requirements, and/or Russian capital controls or other counter measures. In such circumstances, the portfolio would continue to own and have exposure to Russian-related issuers and markets.  Please refer to your portfolio holdings report. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"DoubleLine® is a registered trademark of DoubleLine Capital LP.

Investing involves risk including the risk of loss of principal.

All information is from SSGA unless otherwise noted and has been obtained from sources believed to be reliable, but its accuracy is not guaranteed.  There is no representation or warranty as to the current accuracy, reliability or completeness of, nor liability for, decisions based on such information and it should not be relied on as such. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Distributor: State Street Global Advisors Funds Distributors, LLC, member FINRA(http://www.finra.org), SIPC(http://www.sipc.org), an indirect wholly owned subsidiary of State Street Corporation. References to State Street may include State Street Corporation and its affiliates. Certain State Street affiliates provide services and receive fees from the SPDR ETFs. ALPS Distributors, Inc., member FINRA, is the distributor for DIA, MDY and SPY, all unit investment trusts. ALPS Portfolio Solutions Distributor, Inc., member FINRA, is the distributor for Select Sector SPDRs. ALPS Distributors, Inc. and ALPS Portfolio Solutions Distributor, Inc. are not affiliated with State Street Global Advisors Funds Distributors, LLC.

State Street Global Advisors Funds Distributors, LLC is the distributor for some registered products on behalf of the adviser. SSGA Funds Management has retained Blackstone Liquid Credit Strategies LLC, Nuveen Asset Management, DoubleLine Capital LP, Loomis Sayles and Galaxy Digital Capital Management LP as the sub-adviser. State Street Global Advisors Funds Distributors, LLC is not affiliated with Blackstone Liquid Credit Strategies LLC DoubleLine Capital LP, Nuveen Asset Management, Loomis Sayles or Galaxy Digital Capital Management LP.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Before investing, consider the funds’ investment objectives, risks, charges and expenses. To obtain a prospectus or summary prospectus, this contains this and other information, call 1-866-787-2257 or visit www.ssga.com. Read it carefully.

Not FDIC Insured * No Bank Guarantee * May Lose Value

© 2024 State Street Corporation - All Rights Reserved.
State Street Global Advisors Funds Distributors, LLC, One Iron Street, Boston, MA 02210

4503082.6.4.AM.RTL
Expiration: 01/31/2025
SPD003614",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
